"Player";"Short Name";"Player ID";"Birthdate";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Vilde Bøe Risa";"V. Bøe Risa";"22356";"1995-07-13";"86.63";"13";"0";"9487.77";"109.52";"1272.46";"238.54";"18.62";"23.69";"1.0";"262.23";"19.62";"24.18";"25.48";"100.85";"1.85";"88.85";"3.31";"0.38";"0.87";"null";"0.0";"null";"null";"14.92";"2.27";"2.98";"9856.47";"109.52";"1321.91";"247.81";"19.34";"24.61";"1.04";"272.42";"20.38";"104.77";"1.92";"92.3";"3.44";"0.4";"0.0";"15.5"
"Caroline Graham Graham Hansen";"C. Graham Hansen";"22358";"1995-02-18";"83.22";"10";"0";"8532.9";"102.54";"1078.1";"405.9";"41.2";"109.4";"6.8";"515.3";"48.0";"27.7";"28.42";"89.7";"3.9";"74.4";"9.3";"2.5";"0.76";"0.86";"0.5";"1.84";"null";"27.2";"2.24";"2.84";"9228.45";"102.54";"1165.98";"438.99";"44.56";"118.32";"7.35";"557.3";"51.91";"97.01";"4.22";"80.46";"10.06";"2.7";"0.54";"29.42"
"Emilie Nautnes";"E. Nautnes";"22370";"1999-01-13";"84.67";"12";"0";"8265.42";"97.62";"1042.75";"443.58";"41.33";"135.0";"7.25";"578.58";"48.58";"28.07";"29.44";"87.33";"4.67";"76.33";"8.42";"3.08";"0.79";"0.9";"0.5";"2.11";"null";"23.5";"2.18";"3.0";"8785.93";"97.62";"1108.42";"471.52";"43.94";"143.5";"7.71";"615.02";"51.64";"92.83";"4.96";"81.14";"8.95";"3.28";"0.53";"24.98"
"Sara Däbritz";"S. Däbritz";"22430";"1995-02-15";"88.95";"13";"0";"10231.15";"115.02";"1495.15";"348.38";"29.15";"24.08";"1.62";"372.46";"30.77";"24.77";"25.54";"95.15";"1.77";"88.62";"6.46";"0.62";"0.88";"null";"0.08";"null";"null";"19.54";"2.1";"3.02";"10351.78";"115.02";"1512.78";"352.49";"29.5";"24.36";"1.63";"376.85";"31.13";"96.28";"1.79";"89.66";"6.54";"0.62";"0.08";"19.77"
"Irene  Paredes Hernandez";"Irene Paredes";"22444";"1991-07-04";"93.22";"14";"0";"9357.64";"100.38";"1137.21";"433.0";"33.64";"65.71";"4.5";"498.71";"38.14";"26.94";"27.96";"94.79";"3.0";"82.71";"5.43";"1.57";"0.84";"0.97";"0.86";"1.93";"2.03";"17.79";"2.18";"3.03";"9034.16";"100.38";"1097.9";"418.03";"32.48";"63.44";"4.34";"481.47";"36.82";"91.51";"2.9";"79.85";"5.24";"1.52";"0.83";"17.17"
"Marta Torrejón Moya";"Marta Torrejon";"22448";"1990-02-27";"98.29";"11";"0";"9475.73";"96.41";"992.36";"343.0";"25.45";"41.0";"2.82";"384.0";"28.27";"25.43";"26.2";"98.0";"2.64";"82.18";"5.27";"0.91";"0.92";"null";"0.0";"null";"null";"11.64";"null";"3.08";"8676.71";"96.41";"908.69";"314.08";"23.31";"37.54";"2.58";"351.62";"25.89";"89.74";"2.41";"75.25";"4.83";"0.83";"0.0";"10.66"
"Alexia Putellas Segura";"Alexia Putellas";"22451";"1994-02-04";"95.91";"10";"0";"10269.9";"107.08";"1357.5";"252.5";"21.8";"12.9";"0.8";"265.4";"22.6";"23.65";"24.7";"112.9";"2.6";"99.4";"5.0";"0.4";"1.11";"null";"0.0";"null";"null";"17.8";"2.16";"3.16";"9636.9";"107.08";"1273.83";"236.94";"20.46";"12.1";"0.75";"249.04";"21.21";"105.94";"2.44";"93.27";"4.69";"0.38";"0.0";"16.7"
"Patricia Guijarro Gutiérrez";"Patri Guijarro";"22452";"1998-05-17";"92.58";"6";"0";"10221.17";"110.4";"1110.83";"247.5";"25.67";"35.33";"2.33";"282.83";"28.0";"25.67";"26.02";"95.83";"3.5";"82.83";"4.17";"1.33";"0.81";"null";"0.17";"null";"null";"21.67";"2.42";"3.05";"9936.27";"110.4";"1079.87";"240.6";"24.95";"34.35";"2.27";"274.95";"27.22";"93.16";"3.4";"80.52";"4.05";"1.3";"0.16";"21.06"
"María Pilar León Cebrián";"María León";"22456";"1995-06-13";"86.41";"5";"0";"8665.8";"100.29";"906.2";"314.4";"24.6";"72.6";"2.8";"387.0";"27.4";"27.46";"27.46";"84.2";"3.0";"72.6";"3.8";"1.8";"0.94";"null";"0.4";"null";"null";"10.4";"2.54";"null";"9025.83";"100.29";"943.85";"327.46";"25.62";"75.62";"2.92";"403.08";"28.54";"87.7";"3.12";"75.62";"3.96";"1.87";"0.42";"10.83"
"Aitana Bonmati Conca";"Aitana Bonmati";"22458";"1998-01-18";"96.08";"6";"0";"9774.83";"101.73";"1112.67";"324.17";"30.17";"50.5";"3.0";"374.67";"33.17";"26.12";"26.36";"107.17";"3.0";"91.0";"8.0";"1.5";"0.8";"0.83";"0.17";"null";"null";"23.0";"2.35";"2.99";"9155.96";"101.73";"1042.22";"303.64";"28.26";"47.3";"2.81";"350.95";"31.07";"100.38";"2.81";"85.24";"7.49";"1.41";"0.16";"21.54"
