player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
22356,Vilde Bøe Risa,V. Bøe Risa,1995-07-13,86.69,24.51,20.42,13,12,1,1285.0,107.08,35.17,30.67,2.08,0.17,17.08,9.33,23.5,28.42,81.75,25.33,3.17,0.17,0.08,0.0
22358,Caroline Graham Graham Hansen,C. Graham Hansen,1995-02-18,82.88,33.13,13.27,11,11,0,1865.0,169.55,50.0,40.27,5.18,1.0,41.45,38.82,33.18,96.73,46.82,122.73,22.45,2.64,1.09,0.0
22370,Emilie Nautnes,E. Nautnes,1999-01-13,84.39,24.19,19.89,13,12,1,1227.0,102.25,27.5,12.17,1.5,0.42,29.33,35.17,2.75,21.17,72.92,29.33,19.08,1.17,0.5,0.17
22430,Sara Däbritz,S. Däbritz,1995-02-15,87.84,28.14,19.87,14,14,0,1792.0,128.0,35.43,29.21,2.21,0.36,29.36,26.0,21.43,37.21,88.64,39.36,10.36,1.07,0.57,0.07
22438,Merle Frohms,M. Frohms,1995-01-28,101.44,29.32,25.3,6,6,0,211.0,35.17,10.5,10.33,0.0,0.0,0.0,0.0,10.5,0.0,0.17,35.0,0.0,0.0,0.0,0.0
22441,María Dolores Gallardo Nuñez,Lola Gallardo,1993-06-10,103.55,29.45,24.6,18,16,2,591.0,36.94,14.19,14.0,0.0,0.0,0.0,0.0,14.12,0.0,0.06,36.88,0.0,0.0,0.0,0.0
22444,Irene  Paredes Hernandez,Irene Paredes,1991-07-04,93.22,37.32,15.07,14,14,0,2137.0,152.64,50.21,49.14,1.21,0.07,0.29,3.0,48.64,24.79,6.36,146.29,2.21,0.36,0.29,0.0
22448,Marta Torrejón Moya,Marta Torrejon,1990-02-27,99.15,39.03,15.58,12,12,0,2238.0,186.5,54.0,52.67,1.42,0.33,2.92,8.08,51.92,70.17,12.25,174.25,3.75,0.17,0.08,0.0
22451,Alexia Putellas Segura,Alexia Putellas,1994-02-04,95.91,38.28,15.17,10,10,0,2362.0,236.2,87.7,79.3,7.2,1.6,39.1,44.9,56.6,67.9,155.1,81.1,22.4,2.9,1.0,0.2
22452,Patricia Guijarro Gutiérrez,Patri Guijarro,1998-05-17,92.58,37.44,13.43,6,6,0,1320.0,220.0,89.0,85.33,6.67,1.33,8.33,13.67,74.83,42.0,126.67,93.33,3.17,0.5,0.33,0.0
