player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
22356,Vilde Bøe Risa,V. Bøe Risa,1995-07-13,86.69,24.51,20.42,13,12,1,186.0,15.5,0.67,0.0,5.17,4.5,11.89,1.58,1.0,3.75,1.0,0.92
22358,Caroline Graham Graham Hansen,C. Graham Hansen,1995-02-18,82.88,33.13,13.27,11,11,0,300.0,27.27,1.73,0.36,10.82,6.55,11.2,5.91,9.27,13.73,4.82,2.09
22370,Emilie Nautnes,E. Nautnes,1999-01-13,84.39,24.19,19.89,13,12,1,296.0,24.67,0.83,0.17,9.0,3.75,13.36,5.08,6.42,14.33,5.08,1.25
22430,Sara Däbritz,S. Däbritz,1995-02-15,87.84,28.14,19.87,14,14,0,386.0,27.57,0.21,0.0,7.57,4.79,12.26,4.21,4.29,11.36,3.36,1.57
22438,Merle Frohms,M. Frohms,1995-01-28,101.44,29.32,25.3,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
22441,María Dolores Gallardo Nuñez,Lola Gallardo,1993-06-10,103.55,29.45,24.6,18,16,2,1.0,0.06,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0
22444,Irene  Paredes Hernandez,Irene Paredes,1991-07-04,93.22,37.32,15.07,14,14,0,142.0,10.14,0.14,0.0,4.0,3.71,13.37,0.79,0.36,0.43,0.29,0.07
22448,Marta Torrejón Moya,Marta Torrejon,1990-02-27,99.15,39.03,15.58,12,12,0,131.0,10.92,0.08,0.0,2.92,2.67,10.18,0.5,0.83,1.67,0.33,0.17
22451,Alexia Putellas Segura,Alexia Putellas,1994-02-04,95.91,38.28,15.17,10,10,0,355.0,35.5,1.8,0.3,13.0,9.5,10.95,2.8,8.0,16.4,6.3,3.8
22452,Patricia Guijarro Gutiérrez,Patri Guijarro,1998-05-17,92.58,37.44,13.43,6,6,0,79.0,13.17,0.33,0.0,6.0,5.5,8.88,0.5,0.83,2.0,1.0,0.83
22456,María Pilar León Cebrián,María León,1995-06-13,86.41,33.43,13.53,5,5,0,65.0,13.0,0.8,0.2,5.6,5.0,10.81,1.0,0.2,0.8,0.4,0.2
22458,Aitana Bonmati Conca,Aitana Bonmati,1998-01-18,96.08,38.44,13.7,6,6,0,190.0,31.67,2.83,0.67,11.17,8.83,12.21,6.0,5.33,12.0,4.5,3.17
22553,Monica Hickmann Alves,Mônica,1987-04-21,93.43,25.9,22.72,17,16,1,100.0,6.25,0.06,0.0,2.06,2.0,9.9,0.12,0.19,0.25,0.12,0.06
22633,Caroline Weir,C. Weir,1995-06-20,85.44,25.72,19.55,10,10,0,278.0,27.8,0.8,0.1,9.2,5.5,12.37,2.3,5.1,12.9,4.6,1.8
22657,Estefanía Romina Banini Ruiz,E. Banini,1990-06-21,83.68,23.01,17.56,15,15,0,324.0,21.6,0.87,0.07,7.0,5.53,12.7,2.53,2.53,5.07,1.4,0.93
22691,Chika Hirao,C. Hirao,1996-12-31,99.92,32.04,19.63,6,3,3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
42753,Ingrid Filippa Angeldahl,F. Angeldahl,1997-07-14,83.44,25.79,19.38,15,15,0,253.0,16.87,0.4,0.07,5.4,4.47,11.93,1.73,1.6,3.0,0.8,0.47
52569,Francisca Ramos Ribeiro Nazareth Sousa,Kika Nazareth,2002-11-17,91.15,39.2,13.02,7,7,0,261.0,37.29,1.29,0.29,13.43,9.57,10.68,3.29,9.14,17.86,7.14,3.57
52573,Dolores Isabel Jacome Silva,Dolores Silva,1991-08-07,95.1,19.9,27.73,16,14,2,235.0,16.79,0.14,0.0,3.93,2.14,13.48,2.14,1.29,3.93,0.79,0.14
52576,Inês Teixeira Pereira,Inês Pereira,1999-05-26,102.68,25.74,26.18,20,15,5,5.0,0.33,0.0,0.0,0.2,0.2,5.0,0.0,0.0,0.0,0.0,0.0
52591,Andreia de Jesus Jacinto,Andreia Jacinto,2002-06-08,94.82,28.13,23.74,17,14,3,331.0,23.64,0.29,0.0,7.0,5.79,11.44,2.36,1.07,4.21,1.07,0.71
59377,Hanna Ulrika Bennison,H. Bennison,2002-10-16,86.0,30.69,15.77,6,6,0,180.0,30.0,0.67,0.0,7.67,5.5,12.46,4.0,2.83,7.67,1.83,0.83
62393,Giovana Queiroz Costa,Gio Garbelini,2003-06-21,88.52,27.8,17.04,4,4,0,102.0,25.5,1.75,0.0,10.25,7.0,14.24,7.5,4.0,10.5,4.0,2.0
62477,Ana Vitoria Angelica Kliemaschewsk de Araujo,Ana Vitória,2000-03-06,89.65,29.51,16.73,4,3,1,54.0,18.0,0.0,0.0,5.33,4.0,13.74,3.33,2.33,7.0,0.67,0.33
62524,Loreta Kullashi,L. Kullashi,1999-05-20,99.02,25.23,24.68,5,5,0,147.0,29.4,0.4,0.0,8.0,5.4,14.2,2.6,8.2,14.8,2.6,1.2
62532,Catalina Alasia Ongaro,C. Ongaro,2003-03-26,83.0,18.91,25.74,4,4,0,77.0,19.25,0.25,0.0,6.0,5.0,12.39,1.5,1.25,5.75,1.5,0.75
62575,Daniela Caracas González,D. Caracas,1997-04-25,98.42,21.86,29.43,14,12,2,144.0,12.0,0.25,0.08,3.33,2.67,13.69,2.33,0.67,1.5,0.33,0.17
62605,Signe Kallesøe Bruun,S. Bruun,1998-04-06,65.87,17.83,16.32,4,4,0,76.0,19.0,0.75,0.25,6.0,3.25,11.08,1.75,7.25,13.75,3.75,1.5
62703,Hildur Antonsdóttir,H. Antonsdóttir,1995-09-18,95.41,27.18,21.72,19,17,2,150.0,8.82,0.24,0.06,3.0,2.59,10.06,0.65,0.47,1.06,0.35,0.12
62890,Bárbara Latorre Vinals,Bárbara Latorre,1993-03-14,70.7,16.48,22.62,9,7,2,88.0,12.57,0.14,0.0,5.57,3.14,13.88,4.0,1.14,4.29,1.86,1.43
