player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
22356,Vilde Bøe Risa,V. Bøe Risa,1995-07-13,86.69,24.51,20.42,13,12,1,1570.0,130.83,0.17,2.33,513.0,42.75,35.25,82.46,85.12,14.56,1.75,14.0,11.67,1.58,1.17,16.08,5.5,3.25,13.67,6.08,4.17,68.49,73.23,0.83,0.08,17.08,4.75,52.63,2.5,7.83
22358,Caroline Graham Graham Hansen,C. Graham Hansen,1995-02-18,82.88,33.13,13.27,11,11,0,1579.0,143.55,1.0,4.18,434.0,39.45,30.64,77.65,75.83,11.21,1.09,5.55,6.0,1.64,0.73,10.45,2.55,1.55,40.27,10.45,5.91,56.52,59.83,1.55,0.45,44.55,11.64,46.87,5.45,12.18
22370,Emilie Nautnes,E. Nautnes,1999-01-13,84.39,24.19,19.89,13,12,1,383.0,31.92,0.0,0.58,111.0,9.25,6.08,65.77,71.47,11.48,0.17,3.25,1.25,0.08,0.25,0.67,0.08,0.0,12.08,2.58,1.58,61.29,64.41,0.33,0.0,8.58,1.83,40.91,0.75,2.75
22430,Sara Däbritz,S. Däbritz,1995-02-15,87.84,28.14,19.87,14,14,0,1577.0,112.64,0.21,2.0,466.0,33.29,28.86,86.7,86.5,12.98,0.57,6.57,5.43,0.5,1.29,13.07,3.0,2.71,19.5,6.07,4.5,74.12,73.65,0.5,0.07,24.43,5.29,60.81,3.21,5.14
22438,Merle Frohms,M. Frohms,1995-01-28,101.44,29.32,25.3,6,6,0,376.0,62.67,0.0,0.0,107.0,17.83,14.83,83.18,85.67,23.47,4.5,3.83,1.5,0.0,0.0,17.17,4.67,3.33,5.33,0.83,0.67,80.0,90.84,0.0,0.0,0.0,0.0,,0.0,2.17
22441,María Dolores Gallardo Nuñez,Lola Gallardo,1993-06-10,103.55,29.45,24.6,18,16,2,991.0,61.94,0.0,0.06,369.0,23.06,20.62,89.43,89.23,20.41,3.56,5.06,3.44,0.0,0.0,16.75,4.5,3.0,8.25,2.56,2.44,95.12,94.89,0.0,0.0,0.0,0.0,,0.0,1.75
22444,Irene  Paredes Hernandez,Irene Paredes,1991-07-04,93.22,37.32,15.07,14,14,0,2706.0,193.29,0.14,2.21,977.0,69.79,65.93,94.47,94.4,14.92,3.36,11.0,15.79,0.36,0.29,30.07,8.0,7.07,10.71,4.86,4.64,95.59,89.13,0.21,0.0,4.0,1.21,52.94,0.64,3.36
22448,Marta Torrejón Moya,Marta Torrejon,1990-02-27,99.15,39.03,15.58,12,12,0,2116.0,176.33,0.42,2.5,844.0,70.33,66.33,94.31,93.56,12.83,1.17,16.25,21.58,0.5,0.33,29.17,8.17,7.17,11.58,4.42,4.0,90.57,85.78,0.17,0.0,8.33,1.75,66.67,1.17,4.17
22451,Alexia Putellas Segura,Alexia Putellas,1994-02-04,95.91,38.28,15.17,10,10,0,2883.0,288.3,1.3,8.0,836.0,83.6,72.7,86.96,84.77,10.5,0.8,20.6,17.8,4.0,3.5,38.5,9.5,7.6,34.7,12.3,8.6,69.92,67.16,2.1,0.4,66.3,17.1,61.99,10.6,13.5
22452,Patricia Guijarro Gutiérrez,Patri Guijarro,1998-05-17,92.58,37.44,13.43,6,6,0,2020.0,336.67,1.5,9.17,592.0,98.67,89.83,91.05,89.13,13.19,2.33,20.33,24.0,2.0,3.0,51.0,12.33,10.33,20.67,7.83,6.0,76.6,74.56,1.33,0.17,54.33,12.0,72.22,8.67,11.5
22456,María Pilar León Cebrián,María León,1995-06-13,86.41,33.43,13.53,5,5,0,1387.0,277.4,0.6,4.8,435.0,87.0,78.8,90.57,90.96,13.85,4.0,15.4,15.6,1.4,0.0,59.2,17.0,15.2,20.4,8.8,7.2,81.82,78.75,0.8,0.2,17.6,3.0,60.0,1.8,7.6
22458,Aitana Bonmati Conca,Aitana Bonmati,1998-01-18,96.08,38.44,13.7,6,6,0,1148.0,191.33,1.33,7.33,355.0,59.17,52.17,88.17,84.95,11.38,1.33,14.83,13.67,3.17,2.0,18.0,5.17,4.17,38.17,12.5,9.83,78.67,75.44,2.33,0.67,50.67,10.67,75.0,8.0,8.83
22553,Monica Hickmann Alves,Mônica,1987-04-21,93.43,25.9,22.72,17,16,1,2007.0,125.44,0.0,0.75,707.0,44.19,36.06,81.61,86.69,16.26,2.44,10.25,8.75,0.38,0.12,31.38,9.75,6.94,11.81,5.06,3.5,69.14,75.84,0.19,0.0,4.44,1.31,28.57,0.38,7.56
22633,Caroline Weir,C. Weir,1995-06-20,85.44,25.72,19.55,10,10,0,1082.0,108.2,0.2,2.1,333.0,33.3,29.4,88.29,86.53,12.06,0.3,8.0,5.9,1.3,0.6,13.1,3.2,2.4,20.3,7.5,6.1,81.33,77.97,0.9,0.0,21.1,5.4,77.78,4.2,5.3
22657,Estefanía Romina Banini Ruiz,E. Banini,1990-06-21,83.68,23.01,17.56,15,15,0,1688.0,112.53,0.27,2.07,474.0,31.6,25.13,79.54,80.33,11.92,1.07,6.73,5.27,0.27,0.87,8.27,2.4,1.67,26.07,7.53,5.6,74.34,67.86,0.93,0.07,22.47,4.2,61.9,2.6,8.13
22691,Chika Hirao,C. Hirao,1996-12-31,99.92,32.04,19.63,6,3,3,127.0,42.33,0.0,0.0,44.0,14.67,12.33,84.09,92.06,18.52,2.0,1.0,1.0,0.0,0.0,12.67,3.0,1.0,5.33,1.0,1.0,100.0,97.29,0.0,0.0,0.0,0.0,,0.0,0.67
42753,Ingrid Filippa Angeldahl,F. Angeldahl,1997-07-14,83.44,25.79,19.38,15,15,0,2011.0,134.07,0.07,1.73,676.0,45.07,38.4,85.21,88.52,15.95,2.47,9.07,8.2,0.67,0.33,23.4,8.6,6.13,15.13,7.8,5.53,70.94,72.95,0.53,0.0,9.53,2.87,58.14,1.67,5.53
52569,Francisca Ramos Ribeiro Nazareth Sousa,Kika Nazareth,2002-11-17,91.15,39.2,13.02,7,7,0,1912.0,273.14,1.14,4.86,525.0,75.0,68.57,91.43,89.14,12.87,3.43,10.29,15.29,1.57,3.14,38.86,6.71,5.86,32.71,10.57,8.29,78.38,76.06,1.29,0.43,56.43,11.57,70.37,8.14,9.0
52573,Dolores Isabel Jacome Silva,Dolores Silva,1991-08-07,95.1,19.9,27.73,16,14,2,907.0,64.79,0.07,1.07,298.0,21.29,17.0,79.87,82.19,12.32,0.21,8.29,4.29,0.64,0.36,5.07,1.93,1.43,7.64,3.57,2.36,66.0,72.68,0.21,0.07,7.21,2.07,62.07,1.29,4.07
52576,Inês Teixeira Pereira,Inês Pereira,1999-05-26,102.68,25.74,26.18,20,15,5,1270.0,84.67,0.0,0.0,399.0,26.6,20.87,78.44,82.18,24.67,6.4,4.53,1.6,0.0,0.0,27.67,9.2,5.6,8.07,2.2,1.87,84.85,88.23,0.07,0.0,0.0,0.0,,0.0,4.8
52591,Andreia de Jesus Jacinto,Andreia Jacinto,2002-06-08,94.82,28.13,23.74,17,14,3,2071.0,147.93,0.21,2.21,588.0,42.0,34.29,81.63,84.75,14.59,2.0,8.64,7.79,0.57,0.36,23.21,5.79,4.14,21.5,7.71,5.93,76.85,75.24,1.07,0.21,21.0,5.07,59.15,3.0,7.71
59377,Hanna Ulrika Bennison,H. Bennison,2002-10-16,86.0,30.69,15.77,6,6,0,651.0,108.5,0.17,1.33,192.0,32.0,27.67,86.46,89.35,14.9,1.0,6.5,5.0,0.5,0.5,15.5,3.5,3.0,15.33,5.17,4.17,80.65,78.59,0.5,0.0,14.17,2.67,81.25,2.17,3.67
62393,Giovana Queiroz Costa,Gio Garbelini,2003-06-21,88.52,27.8,17.04,4,4,0,232.0,58.0,0.25,1.25,62.0,15.5,11.5,74.19,72.38,14.26,0.5,4.5,0.75,1.25,0.5,1.0,0.0,0.0,24.5,5.75,4.25,73.91,61.16,0.75,0.25,25.5,4.5,61.11,2.75,4.75
62477,Ana Vitoria Angelica Kliemaschewsk de Araujo,Ana Vitória,2000-03-06,89.65,29.51,16.73,4,3,1,279.0,93.0,0.0,2.0,77.0,25.67,21.67,84.41,85.87,13.61,0.67,4.33,6.33,0.67,0.67,9.67,2.0,1.67,17.0,6.0,4.67,77.78,74.81,1.0,0.0,24.33,3.33,60.0,2.0,4.33
62524,Loreta Kullashi,L. Kullashi,1999-05-20,99.02,25.23,24.68,5,5,0,412.0,82.4,0.4,1.0,116.0,23.2,16.8,72.41,75.92,14.48,1.2,6.6,2.6,0.4,0.6,2.8,1.4,0.8,21.0,8.0,5.2,65.0,65.09,0.6,0.2,17.2,4.8,66.67,3.2,7.0
62532,Catalina Alasia Ongaro,C. Ongaro,2003-03-26,83.0,18.91,25.74,4,4,0,257.0,64.25,0.0,0.75,81.0,20.25,15.0,74.07,78.62,17.16,2.0,7.25,3.5,1.0,0.0,5.0,1.75,1.25,10.0,3.75,2.75,73.33,68.04,0.25,0.0,10.25,2.5,60.0,1.5,5.25
62575,Daniela Caracas González,D. Caracas,1997-04-25,98.42,21.86,29.43,14,12,2,902.0,75.17,0.17,1.5,293.0,24.42,16.92,69.28,75.58,15.57,1.08,7.42,4.83,0.75,0.5,15.5,5.17,3.17,12.17,4.17,2.58,62.0,65.05,0.42,0.08,8.5,2.83,44.12,1.25,7.67
62605,Signe Kallesøe Bruun,S. Bruun,1998-04-06,65.87,17.83,16.32,4,4,0,125.0,31.25,0.0,1.25,39.0,9.75,7.25,74.36,69.88,13.0,0.75,4.75,1.0,0.75,0.5,2.0,0.75,0.5,13.0,4.0,3.0,75.0,59.5,1.0,0.0,9.0,2.0,62.5,1.25,3.25
62703,Hildur Antonsdóttir,H. Antonsdóttir,1995-09-18,95.41,27.18,21.72,19,17,2,2070.0,121.76,0.35,1.18,729.0,42.88,35.82,83.54,87.83,15.7,2.12,10.88,8.82,0.53,0.35,19.47,5.29,3.82,10.59,4.24,2.76,65.28,77.99,0.41,0.18,7.47,1.76,40.0,0.71,6.41
62890,Bárbara Latorre Vinals,Bárbara Latorre,1993-03-14,70.7,16.48,22.62,9,7,2,296.0,42.29,0.14,0.29,88.0,12.57,7.57,60.23,69.17,12.67,0.14,4.86,2.71,1.14,0.43,2.0,1.0,0.43,11.0,3.0,1.43,47.62,65.59,0.0,0.0,9.29,2.86,40.0,1.14,5.14
62892,María López Valenzuela,Maria Valenzuela,2002-11-26,103.97,28.08,24.72,9,9,0,715.0,79.44,0.0,0.0,242.0,26.89,22.11,82.23,87.14,19.4,4.56,5.67,3.0,0.0,0.0,27.56,6.33,3.22,6.11,2.89,2.67,92.31,92.93,0.0,0.0,0.0,0.0,,0.0,2.67
62893,Eva María Navarro García,Eva Navarro,2001-01-27,88.35,25.94,22.13,11,11,0,1444.0,131.27,0.27,2.27,424.0,38.55,30.91,80.19,83.45,13.75,1.09,5.36,5.27,1.0,0.36,19.18,5.64,3.91,24.73,8.0,5.0,62.5,69.0,1.09,0.27,18.73,5.36,42.37,2.27,8.18
62895,Ainhoa Vicente Moraza,Ainhoa Moraza,1995-08-20,100.34,30.47,24.1,22,18,4,2925.0,162.5,0.11,1.11,1104.0,61.33,52.72,85.96,90.8,16.99,3.56,11.61,14.89,0.44,0.28,41.78,12.89,9.78,16.44,7.11,5.72,80.47,78.09,0.28,0.0,5.39,1.61,55.17,0.89,7.39
62896,Catalina Coll,Cata Coll,2001-04-23,101.33,38.95,16.27,14,14,0,688.0,49.14,0.0,0.0,238.0,17.0,15.5,91.18,93.26,21.18,2.21,3.29,1.36,0.0,0.0,10.86,1.79,1.29,10.71,3.36,3.0,89.36,92.2,0.0,0.0,0.0,0.0,,0.0,0.71
62898,María de Alharilla Casado Morente,Alharilla Casado,1990-11-13,96.98,19.73,29.74,19,14,5,1186.0,84.71,0.07,0.86,357.0,25.5,16.43,64.42,74.02,15.11,1.07,6.86,4.57,0.71,0.43,14.07,3.93,2.0,15.21,5.0,2.93,58.57,65.11,0.36,0.0,8.21,2.29,28.13,0.64,9.0
63538,Antonia Ronnycleide da Costa Silva,Antônia Silva,1994-04-26,76.42,20.96,17.71,2,2,0,150.0,75.0,0.0,1.0,53.0,26.5,21.0,79.25,86.63,16.32,1.5,5.5,4.5,0.0,0.0,17.0,8.0,5.0,8.5,3.0,1.5,50.0,59.09,0.5,0.0,7.5,2.0,75.0,1.5,4.0
