player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
22356,Vilde Bøe Risa,V. Bøe Risa,1995-07-13,86.69,24.51,20.42,13,12,1,551.0,45.92,35.33,76.95,3.25,0.17,2.7,1.11,383.0,31.92,25.33,79.37,2.33,1.33,57.14,22.75,51.0,4.25,3.33,1.42,0.83,0.0,0.0,0.0,,78.43,58.82,1.0,0.92,0.25,0.17,0.33,0.17,50.0,4.33,0.75,17.31,5.67,0.67,11.77,0.5,8.82
22358,Caroline Graham Graham Hansen,C. Graham Hansen,1995-02-18,82.88,33.13,13.27,11,11,0,528.0,48.0,31.09,64.77,8.45,1.64,6.65,2.24,427.0,38.82,25.82,66.51,3.55,1.45,41.03,32.36,150.0,13.64,7.55,7.64,3.36,1.0,0.82,0.09,11.11,55.33,44.05,0.73,4.82,1.45,4.09,2.45,1.18,48.15,5.55,0.82,14.75,8.09,1.27,15.73,2.36,29.21
22370,Emilie Nautnes,E. Nautnes,1999-01-13,84.39,24.19,19.89,13,12,1,190.0,15.83,6.75,42.63,2.75,0.58,7.35,1.74,96.0,8.0,3.08,38.54,2.08,0.83,40.0,2.75,53.0,4.42,1.5,2.92,0.92,1.92,1.67,0.17,10.0,33.96,31.43,0.67,0.92,1.0,1.0,0.0,0.0,,2.75,0.25,9.09,5.08,1.25,24.59,0.83,16.39
22430,Sara Däbritz,S. Däbritz,1995-02-15,87.84,28.14,19.87,14,14,0,541.0,38.64,29.36,75.97,4.21,0.43,5.19,1.77,389.0,27.79,22.43,80.72,3.21,1.86,57.78,21.07,125.0,8.93,6.64,4.0,2.29,0.79,0.64,0.14,22.22,74.4,57.14,1.86,2.79,0.21,0.5,0.57,0.21,37.5,4.14,0.43,10.35,6.29,1.14,18.18,1.43,22.73
22438,Merle Frohms,M. Frohms,1995-01-28,101.44,29.32,25.3,6,6,0,128.0,21.33,14.83,69.53,0.0,0.0,5.12,3.85,64.0,10.67,7.83,73.44,0.5,0.33,66.67,10.33,28.0,4.67,3.17,1.67,1.0,0.0,0.0,0.0,,67.86,60.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.5,0.0,0.0,0.67,0.33,50.0,0.0,0.0
22441,María Dolores Gallardo Nuñez,Lola Gallardo,1993-06-10,103.55,29.45,24.6,18,16,2,421.0,26.31,20.62,78.38,0.12,0.0,3.16,2.7,225.0,14.06,11.94,84.89,0.56,0.12,22.22,13.75,48.0,3.0,2.56,2.31,2.12,0.0,0.0,0.0,,85.42,91.89,0.0,0.0,0.0,0.0,0.06,0.06,100.0,1.19,0.31,26.32,1.44,0.38,26.09,0.0,0.0
22444,Irene  Paredes Hernandez,Irene Paredes,1991-07-04,93.22,37.32,15.07,14,14,0,1017.0,72.64,66.07,90.95,3.5,0.21,3.84,1.59,695.0,49.64,47.5,95.68,0.21,0.14,66.67,47.71,139.0,9.93,9.07,3.79,3.5,0.71,0.0,0.0,,91.37,92.45,0.14,0.0,0.0,0.14,0.07,0.07,100.0,0.5,0.21,42.86,0.79,0.14,18.18,0.07,9.09
22448,Marta Torrejón Moya,Marta Torrejon,1990-02-27,99.15,39.03,15.58,12,12,0,875.0,72.92,66.33,90.97,3.83,0.83,2.31,1.23,633.0,52.75,50.17,95.1,0.92,0.67,72.73,50.58,48.0,4.0,3.58,2.0,1.83,0.08,0.0,0.0,,89.58,91.67,0.33,0.75,0.25,0.17,0.08,0.0,0.0,1.33,0.42,31.25,2.0,0.75,37.5,0.0,0.0
22451,Alexia Putellas Segura,Alexia Putellas,1994-02-04,95.91,38.28,15.17,10,10,0,921.0,92.1,73.3,79.59,11.6,1.9,3.47,1.54,771.0,77.1,62.6,81.19,7.7,4.4,57.14,55.7,112.0,11.2,8.8,6.5,4.4,0.1,0.1,0.1,100.0,78.57,67.69,4.1,3.6,1.6,2.4,1.3,0.8,61.54,13.2,1.7,12.88,16.8,1.9,11.31,4.2,25.0
22452,Patricia Guijarro Gutiérrez,Patri Guijarro,1998-05-17,92.58,37.44,13.43,6,6,0,630.0,105.0,89.83,85.56,12.5,2.0,3.09,1.44,516.0,86.0,74.67,86.82,3.0,1.67,55.56,71.83,63.0,10.5,8.17,4.17,3.67,0.17,0.0,0.0,,77.78,88.0,4.0,1.0,0.33,1.0,0.83,0.5,60.0,6.33,0.83,13.16,9.33,0.67,7.14,1.5,16.07
