player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
22356,Vilde Bøe Risa,V. Bøe Risa,1995-07-13,86.69,24.51,20.42,13,12,1,445.0,37.08,0.75,2.02,7.75,20.9,0.25,0.67,0.92,2.47,1.0,2.0,5.39,0.25,0.68,0.92,2.47,9.08,5.58,9.92,11.58,1.17,4.09,3.5,9.44
22358,Caroline Graham Graham Hansen,C. Graham Hansen,1995-02-18,82.88,33.13,13.27,11,11,0,284.0,25.82,0.73,2.82,5.91,22.89,0.36,1.41,1.82,7.04,2.09,1.27,4.93,0.0,0.0,0.0,0.0,9.55,4.55,9.27,1.64,0.64,4.43,2.36,9.15
22370,Emilie Nautnes,E. Nautnes,1999-01-13,84.39,24.19,19.89,13,12,1,379.0,31.58,0.25,0.79,4.75,15.04,0.17,0.53,1.5,4.75,4.5,1.58,5.01,0.08,0.26,0.08,0.26,14.75,4.83,8.58,1.67,0.42,1.88,2.5,7.92
22430,Sara Däbritz,S. Däbritz,1995-02-15,87.84,28.14,19.87,14,14,0,609.0,43.5,1.07,2.46,6.86,15.76,0.43,0.98,1.57,3.61,2.21,2.79,6.4,0.36,0.82,0.71,1.64,16.14,8.29,13.29,7.71,0.79,3.66,4.0,9.19
22438,Merle Frohms,M. Frohms,1995-01-28,101.44,29.32,25.3,6,6,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
22441,María Dolores Gallardo Nuñez,Lola Gallardo,1993-06-10,103.55,29.45,24.6,18,16,2,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
22444,Irene  Paredes Hernandez,Irene Paredes,1991-07-04,93.22,37.32,15.07,14,14,0,174.0,12.43,1.14,9.2,3.79,30.46,0.14,1.15,0.5,4.02,1.57,0.43,3.45,0.57,4.6,0.5,4.02,2.36,0.43,2.07,4.57,1.07,9.93,0.07,0.57
22448,Marta Torrejón Moya,Marta Torrejon,1990-02-27,99.15,39.03,15.58,12,12,0,162.0,13.5,0.83,6.17,3.5,25.93,0.42,3.09,0.58,4.32,1.17,0.33,2.47,0.17,1.23,0.08,0.62,3.42,0.92,2.67,3.08,0.58,5.21,0.17,1.23
22451,Alexia Putellas Segura,Alexia Putellas,1994-02-04,95.91,38.28,15.17,10,10,0,305.0,30.5,0.9,2.95,6.1,20.0,0.1,0.33,0.9,2.95,0.6,0.9,2.95,0.0,0.0,0.2,0.65,11.2,4.1,12.1,2.0,0.5,3.56,1.4,4.59
22452,Patricia Guijarro Gutiérrez,Patri Guijarro,1998-05-17,92.58,37.44,13.43,6,6,0,168.0,28.0,2.17,7.74,7.83,27.97,0.67,2.38,0.33,1.19,1.5,1.83,6.55,0.0,0.0,0.17,0.6,8.0,4.17,8.67,3.33,0.5,2.95,1.33,4.76
